annulus_mdot_mg_s_for_3um_cold,block_temperature_K,cycle,deg,gas_temperature_K,h_W_m2K,h_model,head_deck_temperature_K,hot_clearance_12p0_um,hot_clearance_16p0_um,hot_clearance_3p0_um,hot_clearance_8p0_um,interference_12p0,interference_16p0,interference_3p0,interference_8p0,liner_lower_temperature_K,liner_material,liner_tdc_temperature_K,liner_temperature_K,piston_crown_temperature_K,piston_material,piston_skirt_temperature_K,piston_temperature_K,pressure_bar,rod_crank_temperature_K
0.07767429717204742,325.3662653128783,60,-180.0,300.0,600.0,constant_h,328.1775660653642,11.192164951064676,15.19487776537165,2.1860611188770918,7.189452136759478,False,False,False,False,329.01128679233193,steel_4140,333.33262923248674,333.33262923248674,332.28637524024987,al_4032_t6,328.1089472423725,328.1089472423725,3.081632653061225,322.79143992029964
0.07828020408220422,325.36683131320416,60,-179.0,305.1640275801856,600.0,constant_h,328.1765186590762,11.191987216205845,15.194700049384835,2.185883341555339,7.189274383027744,False,False,False,False,329.0101170238971,steel_4140,333.32956186154684,333.32956186154684,332.2849238254517,al_4032_t6,328.1091904434033,328.1091904434033,3.134821056650748,322.79206962639876
0.07887944034029871,325.36739701206284,60,-178.0,310.2347416934793,600.0,constant_h,328.17552054966825,11.191818059590908,15.194530913118065,2.1857141391565804,7.189105206064639,False,False,False,False,329.00904575608007,steel_4140,333.32669170630845,333.32669170630845,332.28353315828,al_4032_t6,328.1094526620374,328.1094526620374,3.1873464255642507,322.7926992916261
0.07947377932384311,325.3679624231951,60,-177.0,315.21403036394304,600.0,constant_h,328.1745708403845,11.191657327370486,15.194370202695318,2.185553357890946,7.188944452046542,False,False,False,False,329.0080712169594,steel_4140,333.3240152342095,333.3240152342095,332.28220213777104,al_4032_t6,328.109733559988,328.109733559988,3.2392422981597107,322.7933289178621
0.08006484471302286,325.36852756009205,60,-176.0,320.103756596547,600.0,constant_h,328.17366865258634,11.191504866634006,15.194217765179374,2.1854008449073703,7.188791968088637,False,False,False,False,329.00719164524827,steel_4140,333.32152893398717,333.32152893398717,332.28092968521446,al_4032_t6,328.11003280088136,328.11003280088136,3.290541658216792,322.7939585069538
0.0806541313928434,325.369092435998,60,-175.0,324.90575866114307,600.0,constant_h,328.1728131255108,11.191360525445226,15.194073448609124,2.185256448326456,7.188647602281328,False,False,False,False,329.00640529073945,steel_4140,333.31922931657147,333.31922931657147,332.2797147438558,al_4032_t6,328.1103500503474,328.1103500503474,3.3412769686604076,322.7945880607152
0.08124302328032126,325.3696570639129,60,-174.0,329.6218503820779,600.0,constant_h,328.17200341603115,11.191224152883095,15.193937102037758,2.185120017286657,7.18851120372932,False,False,False,False,329.0057104147219,steel_4140,333.3171129159204,333.3171129159204,332.2785562786022,al_4032_t6,328.11068497610444,328.11068497610444,3.391480204521483,322.7952175809275
0.08183280860345195,325.37022145659466,60,-173.0,334.2538214333052,600.0,constant_h,328.1712386984208,11.191095599072831,15.19380857556385,2.184991401970038,7.188382622582701,False,False,False,False,329.00510529036836,steel_4140,333.3151762897984,333.3151762897984,332.2774532757318,al_4032_t6,328.1110372480383,328.1110372480383,3.4411828851925192,322.79584706933906
0.08242469306470872,325.3707856265623,60,-172.0,338.8034376388501,600.0,constant_h,328.1705181641196,11.190974715214352,15.193687720362448,2.1848704536333585,7.1882617100680335,False,False,False,False,329.0045882030963,steel_4140,333.3134160204998,333.3134160204998,332.2764047426064,al_4032_t6,328.11140653827607,328.11140653827607,3.490416106033864,322.7964765276658
0.08301981123920632,325.3713495860982,60,-171.0,343.27244127847337,600.0,constant_h,328.16984102150354,11.19086135361691,15.193574388717046,2.184757024642714,7.188148318517662,False,False,False,False,329.00415745090174,steel_4140,333.3118287155197,333.3118287155197,332.2754097073882,al_4032_t6,328.11179252125464,328.11179252125464,3.5392105693849873,322.7971059575914
